Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[3, 3, 3, 30, 18]",174288,908437037.5455797,133.35414242744446
S,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[1, 1, 1, 11, 9]",31296,5059102581.791411,133.35417675971985
B_out,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[4, 64, 106, 61, 6]",8235360,19225592.37237279,133.35419726371765
B_in,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[6, 66, 110, 64, 6]",8953440,17683669.56161475,133.35421514511108
